OBJECTID,samp_loc_name,samp_loc_type,samp_loc_lat,samp_loc_long
1,West_OF1,Outfall,40.382211862498600,-124.034360904430145
2,East_OF2,Outfall,40.381174414836359,-124.026059947798842
3,East_OF1,Outfall,40.387783355413205,-124.012934179152012
4,North_OF1,Outfall,40.391707237205132,-124.017070048730659
5,Stream,Stream,40.377379974590454,-124.031897000859445
6,BMP_WTBB_US,BMP,40.392975578432015,-124.038558958398156
7,BMP_QRIB_US,BMP,40.393925294379414,-124.029194494151980
8,BMP_VRBB_US,BMP,40.390507111440733,-124.023113669081596
9,BMP_VRIT_US,BMP,40.388436708153584,-124.026242686967109
10,BMP_NTIB_US,BMP,40.394765884554516,-124.013621130744724
11,BMP_ETW_US,BMP,40.390953510008103,-124.012595705227881
12,BMP_ETW_DS,BMP,40.389336857858467,-124.012945610867547
13,BMP_SVS_US,BMP,40.385655747719959,-124.034067029174636
14,BMP_SVS_DS,BMP,40.384085564197775,-124.034247039148298
