OBJECTID,SHAPE_Length,SHAPE_Area,samp_loc_name,samp_loc_type,Area_acre
1,7571.822254989408975,3611689.496029167901725,BMP_WTBB_US,BMP,82.913313655429135
3,10332.212357764323315,3718757.176678027492017,BMP_VRBB_US,BMP,85.371259222942157
4,3652.153703888121072,801972.886417313828133,BMP_VRIT_US,BMP,18.410837794271888
5,6294.594922119216790,2497055.038038678001612,BMP_QRIB_US,BMP,57.324725121414041
6,6405.686993130230803,1751292.422200155444443,BMP_NTIB_US,BMP,40.204302740837008
7,3759.955395679707181,574256.120755700860173,BMP_ETW_US,BMP,13.183159269675738
8,4843.121085645914718,1363797.735358203761280,North_OF1,Outfall,31.308613190209162
9,6247.167457691810341,1812570.094252756098285,East_OF1,Outfall,41.611050150479443
10,5376.686071631280356,1855543.064352008979768,BMP_SVS_US,BMP,42.597577744410778
11,7129.072081717087713,3083417.817574644926935,West_OF1,Outfall,70.785816145154200
12,15690.056637392981429,6216350.473689484409988,East_OF2,Outfall,142.708341119512795
