sample_id,param_name,conc_result
'St22-01_blank','Total Aluminum',80
'St22-01_blank','Total Antimony',0.08
'St22-01_blank','Total Arsenic',0.27
'St22-01_blank','Benzene',0.3
'St22-01_blank','Total Beryllium',0.61
'St22-01_blank','Total Cadmium',0.028
'St22-01_blank','Chromium',0.71
'St22-01_blank','Dissolved Copper',0.6
'St22-01_blank','Total Copper',0.6
'St22-01_blank','Dissolved Iron',5.8
'St22-01_blank','Total Iron',5.8
'St22-01_blank','Dissolved Lead',0.08
'St22-01_blank','Total Lead',0.1
'St22-01_blank','Total Magnesium',130
'St22-01_blank','Total Mercury',0.06
'St22-01_blank','Total Nickel',0.2
'St22-01_blank','Nitrate + Nitrite Nitrogen',0.004
'St22-01_blank','Total Selenium',1.5
'St22-01_blank','Dissolved Selenium',1.5
'St22-01_blank','Sulfate',0.13
'St22-01_blank','Total Zinc',1.9
'St22-01_blank','Dissolved Zinc',1.9
'St22-01_blank','Alkalinity',0.54
'St22-01_blank','Total Dissolved Solids',13
'St22-01_blank','Total Suspended Solids',4
'St22-01_blank','Turbidity',0.5
'St22-01_BMP_NTIB_US','Total Aluminum',490
'St22-01_BMP_NTIB_US','Total Antimony',1.3
'St22-01_BMP_NTIB_US','Total Arsenic',6.4
'St22-01_BMP_NTIB_US','Benzene',1.5
'St22-01_BMP_NTIB_US','Total Beryllium',0.61
'St22-01_BMP_NTIB_US','Total Cadmium',0.072
'St22-01_BMP_NTIB_US','Chromium',32
'St22-01_BMP_NTIB_US','Dissolved Copper',0.6
'St22-01_BMP_NTIB_US','Total Copper',0.6
'St22-01_BMP_NTIB_US','Dissolved Iron',6.3
'St22-01_BMP_NTIB_US','Total Iron',6.5
'St22-01_BMP_NTIB_US','Dissolved Lead',0.08
'St22-01_BMP_NTIB_US','Total Lead',0.09
'St22-01_BMP_NTIB_US','Total Magnesium',77000
'St22-01_BMP_NTIB_US','Total Mercury',0.06
'St22-01_BMP_NTIB_US','Total Nickel',19
'St22-01_BMP_NTIB_US','Nitrate + Nitrite Nitrogen',0.0059
'St22-01_BMP_NTIB_US','Total Selenium',1.5
'St22-01_BMP_NTIB_US','Dissolved Selenium',1.5
'St22-01_BMP_NTIB_US','Sulfate',0.26
'St22-01_BMP_NTIB_US','Total Zinc',9.3
'St22-01_BMP_NTIB_US','Dissolved Zinc',8
'St22-01_BMP_NTIB_US','Alkalinity',1000
'St22-01_BMP_NTIB_US','Total Dissolved Solids',14
'St22-01_BMP_NTIB_US','Total Suspended Solids',4
'St22-01_BMP_NTIB_US','Turbidity',2.5
'St22-01_BMP_VRIT_US','Total Aluminum',140
'St22-01_BMP_VRIT_US','Total Antimony',1.4
'St22-01_BMP_VRIT_US','Total Arsenic',7.5
'St22-01_BMP_VRIT_US','Benzene',1.5
'St22-01_BMP_VRIT_US','Total Beryllium',0.61
'St22-01_BMP_VRIT_US','Total Cadmium',0.054
'St22-01_BMP_VRIT_US','Chromium',4.3
'St22-01_BMP_VRIT_US','Dissolved Copper',0.6
'St22-01_BMP_VRIT_US','Total Copper',0.6
'St22-01_BMP_VRIT_US','Dissolved Iron',8.2
'St22-01_BMP_VRIT_US','Total Iron',12
'St22-01_BMP_VRIT_US','Dissolved Lead',0.08
'St22-01_BMP_VRIT_US','Total Lead',0.14
'St22-01_BMP_VRIT_US','Total Magnesium',1100
'St22-01_BMP_VRIT_US','Total Mercury',0.06
'St22-01_BMP_VRIT_US','Total Nickel',0.2
'St22-01_BMP_VRIT_US','Nitrate + Nitrite Nitrogen',0.024
'St22-01_BMP_VRIT_US','Total Selenium',3.8
'St22-01_BMP_VRIT_US','Dissolved Selenium',1.5
'St22-01_BMP_VRIT_US','Sulfate',79
'St22-01_BMP_VRIT_US','Total Zinc',8
'St22-01_BMP_VRIT_US','Dissolved Zinc',7.2
'St22-01_BMP_VRIT_US','Alkalinity',610
'St22-01_BMP_VRIT_US','Total Dissolved Solids',13
'St22-01_BMP_VRIT_US','Total Suspended Solids',4
'St22-01_BMP_VRIT_US','Turbidity',6.1
'St22-01_BMP_SVS_US','Total Aluminum',80
'St22-01_BMP_SVS_US','Total Antimony',1.4
'St22-01_BMP_SVS_US','Total Arsenic',7.5
'St22-01_BMP_SVS_US','Benzene',0.25
'St22-01_BMP_SVS_US','Total Beryllium',0.61
'St22-01_BMP_SVS_US','Total Cadmium',0.054
'St22-01_BMP_SVS_US','Chromium',4
'St22-01_BMP_SVS_US','Dissolved Copper',0.6
'St22-01_BMP_SVS_US','Total Copper',0.6
'St22-01_BMP_SVS_US','Dissolved Iron',5.8
'St22-01_BMP_SVS_US','Total Iron',6.5
'St22-01_BMP_SVS_US','Dissolved Lead',0.53
'St22-01_BMP_SVS_US','Total Lead',0.13
'St22-01_BMP_SVS_US','Total Magnesium',5300
'St22-01_BMP_SVS_US','Total Mercury',0.06
'St22-01_BMP_SVS_US','Total Nickel',0.2
'St22-01_BMP_SVS_US','Nitrate + Nitrite Nitrogen',0.0059
'St22-01_BMP_SVS_US','Total Selenium',1.5
'St22-01_BMP_SVS_US','Dissolved Selenium',1.5
'St22-01_BMP_SVS_US','Sulfate',16
'St22-01_BMP_SVS_US','Total Zinc',9.3
'St22-01_BMP_SVS_US','Dissolved Zinc',5.5
'St22-01_BMP_SVS_US','Alkalinity',0.54
'St22-01_BMP_SVS_US','Total Dissolved Solids',14
'St22-01_BMP_SVS_US','Total Suspended Solids',4
'St22-01_BMP_SVS_US','Turbidity',0.5
'St22-01_BMP_WTBB_US','Total Aluminum',80
'St22-01_BMP_WTBB_US','Total Antimony',1.2
'St22-01_BMP_WTBB_US','Total Arsenic',3.3
'St22-01_BMP_WTBB_US','Benzene',4.3
'St22-01_BMP_WTBB_US','Total Beryllium',0.61
'St22-01_BMP_WTBB_US','Total Cadmium',0.53
'St22-01_BMP_WTBB_US','Chromium',26
'St22-01_BMP_WTBB_US','Dissolved Copper',0.6
'St22-01_BMP_WTBB_US','Total Copper',0.6
'St22-01_BMP_WTBB_US','Dissolved Iron',11
'St22-01_BMP_WTBB_US','Total Iron',15
'St22-01_BMP_WTBB_US','Dissolved Lead',0.5
'St22-01_BMP_WTBB_US','Total Lead',0.4
'St22-01_BMP_WTBB_US','Total Magnesium',900
'St22-01_BMP_WTBB_US','Total Mercury',0.06
'St22-01_BMP_WTBB_US','Total Nickel',18
'St22-01_BMP_WTBB_US','Nitrate + Nitrite Nitrogen',0.034
'St22-01_BMP_WTBB_US','Total Selenium',3.9
'St22-01_BMP_WTBB_US','Dissolved Selenium',1.5
'St22-01_BMP_WTBB_US','Sulfate',10
'St22-01_BMP_WTBB_US','Total Zinc',7
'St22-01_BMP_WTBB_US','Dissolved Zinc',5.3
'St22-01_BMP_WTBB_US','Alkalinity',300
'St22-01_BMP_WTBB_US','Total Dissolved Solids',20
'St22-01_BMP_WTBB_US','Total Suspended Solids',4
'St22-01_BMP_WTBB_US','Turbidity',5.3
