bmp_name,mainten_date
'North Tributary Infiltration Basin',"to_date('08-02-2017','mm-dd-yyyy')"
'North Tributary Infiltration Basin',"to_date('08-10-2018','mm-dd-yyyy')"
'North Tributary Infiltration Basin',"to_date('07-17-2019','mm-dd-yyyy')"
'North Tributary Infiltration Basin',"to_date('12-20-2019','mm-dd-yyyy')"
'North Tributary Infiltration Basin',"to_date('03-17-2020','mm-dd-yyyy')"
'North Tributary Infiltration Basin',"to_date('08-18-2021','mm-dd-yyyy')"
'Valley Road Infiltration Trench',"to_date('08-11-2018','mm-dd-yyyy')"
'Valley Road Infiltration Trench',"to_date('01-30-2019','mm-dd-yyyy')"
'Valley Road Infiltration Trench',"to_date('05-05-2019','mm-dd-yyyy')"
'Valley Road Infiltration Trench',"to_date('01-15-2020','mm-dd-yyyy')"
'Valley Road Infiltration Trench',"to_date('08-04-2020','mm-dd-yyyy')"
'Valley Road Infiltration Trench',"to_date('01-20-2021','mm-dd-yyyy')"
'Valley Road Infiltration Trench',"to_date('08-19-2021','mm-dd-yyyy')"
'South Vegetated Swale',"to_date('08-12-2018','mm-dd-yyyy')"
'South Vegetated Swale',"to_date('07-18-2019','mm-dd-yyyy')"
'South Vegetated Swale',"to_date('03-18-2020','mm-dd-yyyy')"
'West Tributary Bioretention Basin',"to_date('08-14-2019','mm-dd-yyyy')"
'West Tributary Bioretention Basin',"to_date('08-05-2020','mm-dd-yyyy')"
'West Tributary Bioretention Basin',"to_date('08-19-2021','mm-dd-yyyy')"
'Valley Road Bioretention Basin',"to_date('08-15-2019','mm-dd-yyyy')"
'Valley Road Bioretention Basin',"to_date('08-06-2020','mm-dd-yyyy')"
'Valley Road Bioretention Basin',"to_date('08-20-2021','mm-dd-yyyy')"
'East Tributary Wetland',"to_date('09-18-2021','mm-dd-yyyy')"
