storm_id,sample_id,sample_type,sample_time
'2020-01','St20-01_blank','Blank',"to_date('09-15-2019 09:50','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_NTIB_US','Stormwater',"to_date('09-15-2019 08:10','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_NTIB_US_dup','Stormwater',"to_date('09-15-2019 08:20','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_VRIT_US','Stormwater',"to_date('09-15-2019 08:50','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_SVS_US','Stormwater',"to_date('09-15-2019 09:20','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_WTBB_US','Stormwater',"to_date('09-15-2019 09:40','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_VRBB_US','Stormwater',"to_date('09-15-2019 10:20','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_ETW_US','Stormwater',"to_date('09-15-2019 11:00','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_QRIB_US','Stormwater',"to_date('09-15-2019 11:20','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_SVS_DS','Stormwater',"to_date('09-15-2019 11:40','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_BMP_ETW_DS','Stormwater',"to_date('09-15-2019 12:00','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_West_OF1','Stormwater',"to_date('09-15-2019 12:20','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_North_OF1','Stormwater',"to_date('09-15-2019 12:40','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_East_OF1','Stormwater',"to_date('09-15-2019 13:00','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_East_OF2','Stormwater',"to_date('09-15-2019 13:20','mm-dd-yyyy hh24:mi')"
'2020-01','St20-01_Stream','Stormwater',"to_date('09-15-2019 13:40','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_blank','Blank',"to_date('11-04-2019 09:50','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_NTIB_US','Stormwater',"to_date('11-04-2019 08:10','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_VRIT_US','Stormwater',"to_date('11-04-2019 08:20','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_SVS_US','Stormwater',"to_date('11-04-2019 08:50','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_WTBB_US','Stormwater',"to_date('11-04-2019 09:20','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_WTBB_US_dup','Stormwater',"to_date('11-04-2019 09:40','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_VRBB_US','Stormwater',"to_date('11-04-2019 10:20','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_ETW_US','Stormwater',"to_date('11-04-2019 11:00','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_QRIB_US','Stormwater',"to_date('11-04-2019 11:20','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_SVS_DS','Stormwater',"to_date('11-04-2019 11:40','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_BMP_ETW_DS','Stormwater',"to_date('11-04-2019 12:00','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_West_OF1','Stormwater',"to_date('11-04-2019 12:20','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_North_OF1','Stormwater',"to_date('11-04-2019 12:40','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_East_OF1','Stormwater',"to_date('11-04-2019 13:00','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_East_OF2','Stormwater',"to_date('11-04-2019 13:20','mm-dd-yyyy hh24:mi')"
'2020-02','St20-02_Stream','Stormwater',"to_date('11-04-2019 13:40','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_blank','Blank',"to_date('02-05-2020 09:50','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_NTIB_US','Stormwater',"to_date('02-05-2020 08:10','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_VRIT_US','Stormwater',"to_date('02-05-2020 08:20','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_SVS_US','Stormwater',"to_date('02-05-2020 08:50','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_WTBB_US','Stormwater',"to_date('02-05-2020 09:20','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_VRBB_US','Stormwater',"to_date('02-05-2020 09:40','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_VRBB_US_dup','Stormwater',"to_date('02-05-2020 10:20','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_ETW_US','Stormwater',"to_date('02-05-2020 11:00','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_QRIB_US','Stormwater',"to_date('02-05-2020 11:20','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_SVS_DS','Stormwater',"to_date('02-05-2020 11:40','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_BMP_ETW_DS','Stormwater',"to_date('02-05-2020 12:00','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_West_OF1','Stormwater',"to_date('02-05-2020 12:20','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_North_OF1','Stormwater',"to_date('02-05-2020 12:40','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_East_OF1','Stormwater',"to_date('02-05-2020 13:00','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_East_OF2','Stormwater',"to_date('02-05-2020 13:20','mm-dd-yyyy hh24:mi')"
'2020-03','St20-03_Stream','Stormwater',"to_date('02-05-2020 13:40','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_blank','Blank',"to_date('03-10-2020 09:50','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_NTIB_US','Stormwater',"to_date('03-10-2020 08:10','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_VRIT_US','Stormwater',"to_date('03-10-2020 08:20','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_SVS_US','Stormwater',"to_date('03-10-2020 08:50','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_WTBB_US','Stormwater',"to_date('03-10-2020 09:20','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_VRBB_US','Stormwater',"to_date('03-10-2020 09:40','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_ETW_US','Stormwater',"to_date('03-10-2020 10:20','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_QRIB_US','Stormwater',"to_date('03-10-2020 11:00','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_QRIB_US_dup','Stormwater',"to_date('03-10-2020 11:20','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_SVS_DS','Stormwater',"to_date('03-10-2020 11:40','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_BMP_ETW_DS','Stormwater',"to_date('03-10-2020 12:00','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_West_OF1','Stormwater',"to_date('03-10-2020 12:20','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_North_OF1','Stormwater',"to_date('03-10-2020 12:40','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_East_OF1','Stormwater',"to_date('03-10-2020 13:00','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_East_OF2','Stormwater',"to_date('03-10-2020 13:20','mm-dd-yyyy hh24:mi')"
'2020-04','St20-04_Stream','Stormwater',"to_date('03-10-2020 13:40','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_blank','Blank',"to_date('11-18-2020 09:50','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_BMP_NTIB_US','Stormwater',"to_date('11-18-2020 08:10','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_BMP_VRIT_US','Stormwater',"to_date('11-18-2020 08:20','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_BMP_SVS_US','Stormwater',"to_date('11-18-2020 08:50','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_BMP_WTBB_US','Stormwater',"to_date('11-18-2020 09:20','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_BMP_VRBB_US','Stormwater',"to_date('11-18-2020 09:40','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_BMP_ETW_US','Stormwater',"to_date('11-18-2020 10:20','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_BMP_QRIB_US','Stormwater',"to_date('11-18-2020 11:00','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_BMP_SVS_DS','Stormwater',"to_date('11-18-2020 11:20','mm-dd-yyyy hh24:mi')"
