storm_id,storm_start_time,storm_end_time,storm_depth
'2020-01',"to_date('09-15-2019 05:10','mm-dd-yyyy hh24:mi')","to_date('09-16-2019 03:30','mm-dd-yyyy hh24:mi')",1.2
'2020-02',"to_date('11-03-2019 13:00','mm-dd-yyyy hh24:mi')","to_date('11-04-2019 22:40','mm-dd-yyyy hh24:mi')",0.9
'2020-03',"to_date('02-05-2020 05:00','mm-dd-yyyy hh24:mi')","to_date('02-05-2020 23:00','mm-dd-yyyy hh24:mi')",0.8
'2020-04',"to_date('03-10-2020 02:40','mm-dd-yyyy hh24:mi')","to_date('03-11-2020 03:00','mm-dd-yyyy hh24:mi')",0.9
'2021-01',"to_date('11-17-2020 16:50','mm-dd-yyyy hh24:mi')","to_date('11-18-2020 15:20','mm-dd-yyyy hh24:mi')",1.4
'2021-02',"to_date('12-20-2020 10:00','mm-dd-yyyy hh24:mi')","to_date('12-21-2020 05:00','mm-dd-yyyy hh24:mi')",0.8
'2021-03',"to_date('01-26-2021 08:20','mm-dd-yyyy hh24:mi')","to_date('01-26-2021 23:50','mm-dd-yyyy hh24:mi')",0.7
'2021-04',"to_date('02-08-2021 11:40','mm-dd-yyyy hh24:mi')","to_date('02-09-2021 15:20','mm-dd-yyyy hh24:mi')",1.2
'2022-01',"to_date('09-19-2021 07:30','mm-dd-yyyy hh24:mi')","to_date('09-20-2021 06:20','mm-dd-yyyy hh24:mi')",1
'2022-02',"to_date('11-14-2021 14:50','mm-dd-yyyy hh24:mi')","to_date('11-16-2021 04:00','mm-dd-yyyy hh24:mi')",1.7
'2022-03',"to_date('11-25-2021 18:00','mm-dd-yyyy hh24:mi')","to_date('11-26-2021 21:40','mm-dd-yyyy hh24:mi')",1.3
