samp_loc_name,sample_id,sample_duplicate
'BMP_NTIB_US','St20-01_BMP_NTIB_US_dup',
'BMP_NTIB_US','St20-01_BMP_NTIB_US','St20-01_BMP_NTIB_US_dup'
'BMP_VRIT_US','St20-01_BMP_VRIT_US',
'BMP_SVS_US','St20-01_BMP_SVS_US',
'BMP_WTBB_US','St20-01_BMP_WTBB_US',
'BMP_VRBB_US','St20-01_BMP_VRBB_US',
'BMP_ETW_US','St20-01_BMP_ETW_US',
'BMP_QRIB_US','St20-01_BMP_QRIB_US',
'BMP_SVS_DS','St20-01_BMP_SVS_DS',
'BMP_ETW_DS','St20-01_BMP_ETW_DS',
'West_OF1','St20-01_West_OF1',
'North_OF1','St20-01_North_OF1',
'East_OF1','St20-01_East_OF1',
'East_OF2','St20-01_East_OF2',
'Stream','St20-01_Stream',
'BMP_NTIB_US','St20-02_BMP_NTIB_US',
'BMP_VRIT_US','St20-02_BMP_VRIT_US',
'BMP_SVS_US','St20-02_BMP_SVS_US',
'BMP_WTBB_US','St20-02_BMP_WTBB_US_dup',
'BMP_WTBB_US','St20-02_BMP_WTBB_US','St20-02_BMP_WTBB_US_dup'
'BMP_VRBB_US','St20-02_BMP_VRBB_US',
'BMP_ETW_US','St20-02_BMP_ETW_US',
'BMP_QRIB_US','St20-02_BMP_QRIB_US',
'BMP_SVS_DS','St20-02_BMP_SVS_DS',
'BMP_ETW_DS','St20-02_BMP_ETW_DS',
'West_OF1','St20-02_West_OF1',
'North_OF1','St20-02_North_OF1',
'East_OF1','St20-02_East_OF1',
'East_OF2','St20-02_East_OF2',
'Stream','St20-02_Stream',
'BMP_NTIB_US','St20-03_BMP_NTIB_US',
'BMP_VRIT_US','St20-03_BMP_VRIT_US',
'BMP_SVS_US','St20-03_BMP_SVS_US',
'BMP_WTBB_US','St20-03_BMP_WTBB_US',
'BMP_VRBB_US','St20-03_BMP_VRBB_US_dup',
'BMP_VRBB_US','St20-03_BMP_VRBB_US','St20-03_BMP_VRBB_US_dup'
'BMP_ETW_US','St20-03_BMP_ETW_US',
'BMP_QRIB_US','St20-03_BMP_QRIB_US',
'BMP_SVS_DS','St20-03_BMP_SVS_DS',
'BMP_ETW_DS','St20-03_BMP_ETW_DS',
'West_OF1','St20-03_West_OF1',
'North_OF1','St20-03_North_OF1',
'East_OF1','St20-03_East_OF1',
'East_OF2','St20-03_East_OF2',
'Stream','St20-03_Stream',
'BMP_NTIB_US','St20-04_BMP_NTIB_US',
'BMP_VRIT_US','St20-04_BMP_VRIT_US',
'BMP_SVS_US','St20-04_BMP_SVS_US',
'BMP_WTBB_US','St20-04_BMP_WTBB_US',
'BMP_VRBB_US','St20-04_BMP_VRBB_US',
'BMP_ETW_US','St20-04_BMP_ETW_US',
'BMP_QRIB_US','St20-04_BMP_QRIB_US_dup',
'BMP_QRIB_US','St20-04_BMP_QRIB_US','St20-04_BMP_QRIB_US_dup'
'BMP_SVS_DS','St20-04_BMP_SVS_DS',
'BMP_ETW_DS','St20-04_BMP_ETW_DS',
'West_OF1','St20-04_West_OF1',
'North_OF1','St20-04_North_OF1',
'East_OF1','St20-04_East_OF1',
'East_OF2','St20-04_East_OF2',
'Stream','St20-04_Stream',
'BMP_NTIB_US','St21-01_BMP_NTIB_US',
'BMP_VRIT_US','St21-01_BMP_VRIT_US',
'BMP_SVS_US','St21-01_BMP_SVS_US',
'BMP_WTBB_US','St21-01_BMP_WTBB_US',
'BMP_VRBB_US','St21-01_BMP_VRBB_US',
'BMP_ETW_US','St21-01_BMP_ETW_US',
'BMP_QRIB_US','St21-01_BMP_QRIB_US',
'BMP_SVS_DS','St21-01_BMP_SVS_DS',
'BMP_ETW_DS','St21-01_BMP_ETW_DS',
'West_OF1','St21-01_West_OF1_dup',
'West_OF1','St21-01_West_OF1','St21-01_West_OF1_dup'
'North_OF1','St21-01_North_OF1',
'East_OF1','St21-01_East_OF1',
'East_OF2','St21-01_East_OF2',
'Stream','St21-01_Stream',
'BMP_NTIB_US','St21-02_BMP_NTIB_US',
'BMP_VRIT_US','St21-02_BMP_VRIT_US',
'BMP_SVS_US','St21-02_BMP_SVS_US',
'BMP_WTBB_US','St21-02_BMP_WTBB_US',
'BMP_VRBB_US','St21-02_BMP_VRBB_US',
'BMP_ETW_US','St21-02_BMP_ETW_US',
'BMP_QRIB_US','St21-02_BMP_QRIB_US',
'BMP_SVS_DS','St21-02_BMP_SVS_DS',
'BMP_ETW_DS','St21-02_BMP_ETW_DS',
'West_OF1','St21-02_West_OF1',
'North_OF1','St21-02_North_OF1',
'East_OF1','St21-02_East_OF1',
'East_OF2','St21-02_East_OF2_dup',
'East_OF2','St21-02_East_OF2','St21-02_East_OF2_dup'
'Stream','St21-02_Stream',
'BMP_NTIB_US','St21-03_BMP_NTIB_US',
'BMP_VRIT_US','St21-03_BMP_VRIT_US',
'BMP_SVS_US','St21-03_BMP_SVS_US',
'BMP_WTBB_US','St21-03_BMP_WTBB_US',
'BMP_VRBB_US','St21-03_BMP_VRBB_US',
'BMP_ETW_US','St21-03_BMP_ETW_US',
'BMP_QRIB_US','St21-03_BMP_QRIB_US',
'BMP_SVS_DS','St21-03_BMP_SVS_DS',
'BMP_ETW_DS','St21-03_BMP_ETW_DS',
'West_OF1','St21-03_West_OF1',
'North_OF1','St21-03_North_OF1',
'East_OF1','St21-03_East_OF1_dup',
'East_OF1','St21-03_East_OF1','St21-03_East_OF1_dup'
'East_OF2','St21-03_East_OF2',
'Stream','St21-03_Stream',
'BMP_NTIB_US','St21-04_BMP_NTIB_US_dup',
'BMP_NTIB_US','St21-04_BMP_NTIB_US','St21-04_BMP_NTIB_US_dup'
'BMP_VRIT_US','St21-04_BMP_VRIT_US',
'BMP_SVS_US','St21-04_BMP_SVS_US',
'BMP_WTBB_US','St21-04_BMP_WTBB_US',
'BMP_VRBB_US','St21-04_BMP_VRBB_US',
'BMP_ETW_US','St21-04_BMP_ETW_US',
'BMP_QRIB_US','St21-04_BMP_QRIB_US',
'BMP_SVS_DS','St21-04_BMP_SVS_DS',
'BMP_ETW_DS','St21-04_BMP_ETW_DS',
'West_OF1','St21-04_West_OF1',
'North_OF1','St21-04_North_OF1',
'East_OF1','St21-04_East_OF1',
'East_OF2','St21-04_East_OF2',
'Stream','St21-04_Stream',
'BMP_NTIB_US','St22-01_BMP_NTIB_US',
'BMP_VRIT_US','St22-01_BMP_VRIT_US',
'BMP_SVS_US','St22-01_BMP_SVS_US',
'BMP_WTBB_US','St22-01_BMP_WTBB_US_dup',
'BMP_WTBB_US','St22-01_BMP_WTBB_US','St22-01_BMP_WTBB_US_dup'
'BMP_VRBB_US','St22-01_BMP_VRBB_US',
'BMP_ETW_US','St22-01_BMP_ETW_US',
'BMP_QRIB_US','St22-01_BMP_QRIB_US',
'BMP_SVS_DS','St22-01_BMP_SVS_DS',
'BMP_ETW_DS','St22-01_BMP_ETW_DS',
'West_OF1','St22-01_West_OF1',
'North_OF1','St22-01_North_OF1',
'East_OF1','St22-01_East_OF1',
'East_OF2','St22-01_East_OF2',
'Stream','St22-01_Stream',
'BMP_NTIB_US','St22-02_BMP_NTIB_US_dup',
'BMP_NTIB_US','St22-02_BMP_NTIB_US','St22-02_BMP_NTIB_US_dup'
'BMP_VRIT_US','St22-02_BMP_VRIT_US',
'BMP_SVS_US','St22-02_BMP_SVS_US',
'BMP_WTBB_US','St22-02_BMP_WTBB_US',
'BMP_VRBB_US','St22-02_BMP_VRBB_US',
'BMP_ETW_US','St22-02_BMP_ETW_US',
'BMP_QRIB_US','St22-02_BMP_QRIB_US',
'BMP_SVS_DS','St22-02_BMP_SVS_DS',
'BMP_ETW_DS','St22-02_BMP_ETW_DS',
'West_OF1','St22-02_West_OF1',
'North_OF1','St22-02_North_OF1',
'East_OF1','St22-02_East_OF1',
'East_OF2','St22-02_East_OF2',
'Stream','St22-02_Stream',
'BMP_NTIB_US','St22-03_BMP_NTIB_US',
'BMP_VRIT_US','St22-03_BMP_VRIT_US',
'BMP_SVS_US','St22-03_BMP_SVS_US',
'BMP_WTBB_US','St22-03_BMP_WTBB_US',
'BMP_VRBB_US','St22-03_BMP_VRBB_US',
'BMP_ETW_US','St22-03_BMP_ETW_US',
'BMP_QRIB_US','St22-03_BMP_QRIB_US_dup',
'BMP_QRIB_US','St22-03_BMP_QRIB_US','St22-03_BMP_QRIB_US_dup'
'BMP_SVS_DS','St22-03_BMP_SVS_DS',
'BMP_ETW_DS','St22-03_BMP_ETW_DS',
'West_OF1','St22-03_West_OF1',
'North_OF1','St22-03_North_OF1',
'East_OF1','St22-03_East_OF1',
'East_OF2','St22-03_East_OF2',
'Stream','St22-03_Stream',
